repetition,seed,dataset,task,model,encoder,training mode,augmentation,loss,input_size,epochs,batch_size,dice_background_test,dice_foreground_test,mDice_test,iou_background_test,iou_foreground_test,mIoU_test,precision_foreground_test,recall_foreground_test,num_params,trainable_params,gflops,best_epoch,val_mDice_best
1,42,HE,segmentacao_binaria,UNetClassica,resnet34,FS,True,BCE,256x256,50,8,0.8569718950876484,0.8077792367863434,0.8323755648401049,0.7730115597170812,0.709796713647881,0.741404136021932,0.835364466353699,0.8334325830365911,24436369,24436369,7.8359,48,0.8155578612349927
1,123,HE,segmentacao_binaria,UNetClassica,resnet34,FS,True,BCE,256x256,50,8,0.8544990490984034,0.8174941504443133,0.8359965975637789,0.7707520445739782,0.7209178544580936,0.7458349507164073,0.8211051912771331,0.8631344886013755,24436369,24436369,7.8359,39,0.8186226901598275
1,2025,HE,segmentacao_binaria,UNetClassica,resnet34,FS,True,BCE,256x256,50,8,0.8550279851312991,0.8035193083186944,0.8292736483944787,0.7708107248500541,0.7023874727940118,0.73659909941532,0.8418339387686165,0.8174950853128125,24436369,24436369,7.8359,31,0.8145776451565325
1,42,HE,segmentacao_binaria,UNetClassica,resnet34,FS,False,BCE,256x256,50,8,0.8626946857957928,0.8151992340399711,0.8389469576102716,0.7811400552728662,0.7178854135141053,0.7495127337950247,0.82976408942982,0.84543097998464,24436369,24436369,7.8359,48,0.8210736261680722
1,123,HE,segmentacao_binaria,UNetClassica,resnet34,FS,False,BCE,256x256,50,8,0.8561034237879708,0.8197793261320503,0.8379413730568356,0.7730994464674343,0.7229182946737166,0.7480088692020487,0.8213533703375746,0.862591564544925,24436369,24436369,7.8359,32,0.8280807435512543
1,2025,HE,segmentacao_binaria,UNetClassica,resnet34,FS,False,BCE,256x256,50,8,0.851005823303152,0.8145634530871003,0.8327846390229684,0.7662739151053959,0.7163772464350417,0.741325580853003,0.8245976020892462,0.8528370458770681,24436369,24436369,7.8359,35,0.8255286482162774
1,42,HE,segmentacao_binaria,UNetClassica,resnet34,FS,True,DICE,256x256,50,8,0.8278334582293475,0.8060185848562805,0.8169260222050879,0.7403267786872608,0.7052731330747958,0.722799955887927,0.7942996738685502,0.8722405750994329,24436369,24436369,7.8359,33,0.7854691408574581
1,123,HE,segmentacao_binaria,UNetClassica,resnet34,FS,True,DICE,256x256,50,8,0.8484865677301531,0.8066732206830272,0.827579896317588,0.7643640272388303,0.7070287903149922,0.7356964065520851,0.8236871108964637,0.8449704479840067,24436369,24436369,7.8359,20,0.8027770332992077
1,2025,HE,segmentacao_binaria,UNetClassica,resnet34,FS,True,DICE,256x256,50,8,0.8403022253678905,0.8112282978163825,0.8257652577426698,0.7538873128523981,0.7111359958847364,0.7325116526197504,0.799753978241373,0.879136480556594,24436369,24436369,7.8359,42,0.7982067950069904
1,42,HE,segmentacao_binaria,UNetClassica,resnet34,FS,False,DICE,256x256,50,8,0.8420449508216095,0.8109613239765168,0.8265031364228991,0.755304931273201,0.7115796408443539,0.733442284056434,0.7959161015020476,0.883160068563841,24436369,24436369,7.8359,31,0.7985213496722281
1,123,HE,segmentacao_binaria,UNetClassica,resnet34,FS,False,DICE,256x256,50,8,0.8467611380197384,0.8165091295071222,0.831635135853732,0.7625027874829593,0.7208717099494404,0.7416872500269501,0.7991554844158667,0.8894720874450824,24436369,24436369,7.8359,29,0.8176760324276984
1,2025,HE,segmentacao_binaria,UNetClassica,resnet34,FS,False,DICE,256x256,50,8,0.8374749787703708,0.8149263684396391,0.8262006728737442,0.7529506340277967,0.7172998206482993,0.7351252282107318,0.7931622031662199,0.8839331238358109,24436369,24436369,7.8359,45,0.8047395311295986
1,42,OEDB,segmentacao_binaria,UNetClassica,resnet34,PTALL,True,BCE,256x256,50,8,0.915693973793703,0.7883407918407637,0.8520173794206451,0.8473449682488161,0.6603518781416556,0.7538484229761011,0.8133023030617658,0.7778732919079416,24436369,24436369,7.8359,37,0.8592760400338606
1,123,OEDB,segmentacao_binaria,UNetClassica,resnet34,PTALL,True,BCE,256x256,50,8,0.9158388647963019,0.788626782815246,0.8522328261066886,0.8476512072717443,0.6618689993286834,0.7547601014375687,0.8116830583004391,0.7796810727347346,24436369,24436369,7.8359,41,0.8573207819100582
1,2025,OEDB,segmentacao_binaria,UNetClassica,resnet34,PTALL,True,BCE,256x256,50,8,0.9157959205262801,0.7888669674010838,0.852331445497625,0.8475759713088765,0.6626344119362971,0.7551051921704236,0.8114026149406153,0.7820645942188361,24436369,24436369,7.8359,22,0.8576443683017384
1,42,OEDB,segmentacao_binaria,UNetClassica,resnet34,PTALL,False,BCE,256x256,50,8,0.9117729181752485,0.7784632648177007,0.8451180957696017,0.8407443972194896,0.6480961185606087,0.7444202615057721,0.8042150104747099,0.7684437228257165,24436369,24436369,7.8359,14,0.8490399971152797
1,123,OEDB,segmentacao_binaria,UNetClassica,resnet34,PTALL,False,BCE,256x256,50,8,0.9124837798230788,0.7783608844175058,0.845422337160391,0.841909078114173,0.6469452428247999,0.7444271594285965,0.8102443310267785,0.762235388817156,24436369,24436369,7.8359,17,0.8472938898837927
1,2025,OEDB,segmentacao_binaria,UNetClassica,resnet34,PTALL,False,BCE,256x256,50,8,0.9128848770085503,0.775894621058422,0.8443897476091105,0.8425023836248061,0.6452131777563516,0.7438577821149546,0.8111780952004826,0.7599492410526556,24436369,24436369,7.8359,16,0.8514416308114023
1,42,OEDB,segmentacao_binaria,UNetClassica,resnet34,PTALL,True,DICE,256x256,50,8,0.9108669582535239,0.7927326150238514,0.8517997913500842,0.8397532385938308,0.6663301101721385,0.7530416710411801,0.7810228155816302,0.8183265168438939,24436369,24436369,7.8359,41,0.8553102702805491
1,123,OEDB,segmentacao_binaria,UNetClassica,resnet34,PTALL,True,DICE,256x256,50,8,0.9130100485156564,0.7935073202585473,0.8532586816479178,0.8431067089824116,0.667825702468262,0.7554662043557447,0.7896740252480787,0.8132703687776538,24436369,24436369,7.8359,34,0.8554528319474423
1,2025,OEDB,segmentacao_binaria,UNetClassica,resnet34,PTALL,True,DICE,256x256,50,8,0.9113870718899895,0.7933288337114979,0.852357949842425,0.8407849849146956,0.666435953010531,0.7536104733453077,0.7876429592861849,0.8125913252725321,24436369,24436369,7.8359,31,0.8563318144191395
1,42,OEDB,segmentacao_binaria,UNetClassica,resnet34,PTALL,False,DICE,256x256,50,8,0.9127147495746613,0.781284511089325,0.8469996316468015,0.8424048800678814,0.6523937223588719,0.7473993020899156,0.8023630849578801,0.7778957313036218,24436369,24436369,7.8359,16,0.8505916252280726
1,123,OEDB,segmentacao_binaria,UNetClassica,resnet34,PTALL,False,DICE,256x256,50,8,0.9131577996646657,0.7844241598949713,0.8487909786841449,0.8432624988696155,0.6558237489970291,0.7495431225089466,0.8043762888101971,0.7798676213578266,24436369,24436369,7.8359,12,0.8510272918325482
1,2025,OEDB,segmentacao_binaria,UNetClassica,resnet34,PTALL,False,DICE,256x256,50,8,0.9124400904949974,0.7800190102528123,0.8462295540991951,0.8419350569739061,0.6498618460095981,0.7458984479308128,0.8048553510623819,0.7693567002082572,24436369,24436369,7.8359,21,0.8532963756358984
1,42,HE,segmentacao_binaria,UNetClassica,resnet34,PTALL,True,BCE,256x256,50,8,0.912263428259434,0.9027678043754013,0.9075156183154495,0.8536934684522243,0.8306192671811139,0.8421563667279702,0.8934343143745705,0.9219614143724795,24436369,24436369,7.8359,23,0.8890446843579412
